Year,Mean
1850,-0.4314777
1851,-0.4810646
1852,-0.5306513
1853,-0.5637091
1854,-0.6050315
1855,-0.5141224
1856,1.312323
1857,2.386703
1858,0.8412493
1859,-0.5131242E-01
1860,-0.3777588
1861,-0.4314777
1862,0.6852193E-01
1863,-0.1091638
1864,-0.3736265
1865,-0.5058579
1866,-0.5554447
1867,-0.5967670
1868,-0.6050315
1869,-0.5637091
1870,-0.5554447
1871,-0.5554447
1872,-0.5389158
1873,-0.4604034
1874,-0.5099901
1875,-0.5389158
1876,-0.2951142
1877,-0.3447009
1878,-0.4438744
1879,-0.5058579
1880,-0.5513124
1881,-0.5554447
1882,-0.5554447
1883,1.737943
1884,6.481745
1885,2.547860
1886,1.200753
1887,1.242075
1888,0.4817453
1889,0.8081912
1890,1.337117
1891,0.8908361
1892,0.4610840
1893,-0.1422216
1894,-0.4356100
1895,-0.5347835
1896,0.3040591
1897,0.2338115
1898,-0.1412236E-01
1899,-0.3777588
1900,-0.5182546
1901,-0.5554447
1902,0.3949685
1903,2.948687
1904,0.9734808
1905,0.1480309E-01
1906,-0.2413951
1907,-0.1504861
1908,-0.8023838E-01
1909,-0.4066844
1910,-0.4521389
1911,-0.5223868
1912,0.3536458
1913,0.5850509
1914,-0.1132960
1915,-0.4108166
1916,-0.4686678
1917,-0.4934612
1918,-0.5099901
1919,-0.5058579
1920,-0.1422216
1921,-0.2207340
1922,-0.4645356
1923,-0.5471802
1924,-0.4314777
1925,-0.4645356
1926,-0.4851967
1927,-0.5306513
1928,-0.3447009
1929,-0.1174282
1930,-0.2992464
1931,-0.3777588
1932,-0.1918084
1933,-0.2827174
1934,-0.4149488
1935,-0.3901555
1936,-0.4397422
1937,-0.4686678
1938,-0.3612298
1939,-0.3984199
1940,-0.4480067
1941,-0.5017257
1942,-0.3942877
1943,-0.3860233
1944,-0.4975934
1945,-0.4975934
1946,-0.5099901
1947,-0.4893290
1948,-0.5223868
1949,-0.4438744
1950,-0.4645356
1951,-0.5099901
1952,-0.4190811
1953,-0.4438744
1954,-0.4273456
1955,-0.5141224
1956,-0.5471802
1957,-0.5678413
1958,-0.6050315
1959,-0.6050315
1960,-0.3818910
1961,-0.6370913E-01
1962,0.4786107E-01
1963,1.671827
1964,2.952818
1965,1.535464
1966,0.5519928
1967,0.1181087
1968,0.7586045
1969,1.101580
1970,0.2131501
1971,-0.2827175
1972,-0.4149488
1973,-0.2166018
1974,0.2306769E-01
1975,0.8825713
1976,0.8091860E-01
1977,-0.3529654
1978,-0.2331307
1979,-0.1463539
1980,-0.3777588
1981,-0.3653620
1982,1.998273
1983,3.122240
1984,0.8867034
1985,0.2306769E-01
1986,0.7265446E-01
1987,-0.9676712E-01
1988,-0.2207340
1989,-0.3075108
1990,-0.3075108
1991,2.068521
1992,5.399097
1993,1.824720
1994,0.3908359
1995,-0.1215605
1996,-0.2868497
1997,-0.3529654
1998,-0.4728001
1999,-0.5058579
2000,-0.5058579
2001,-0.5058579
2002,-0.5017257
2003,-0.4645356
2004,-0.5017257
2005,-0.4314777
2006,-0.4232133
2007,-0.3984199
2008,-0.4149488
2009,-0.3694943
2010,-0.4314777
2011,-0.3653620
2012,-0.4645356
2013,-0.6050315
2014,-0.6050315
2015,-0.6050315
2016,-0.6050315
2017,-0.6050315
2018,-0.6050315
2019,-0.6050315
