 Date  EpochDay  Avg_Irradiance_New  Avg_Irradiance_Old
 781117  -408.50  1360.7259  1365.8060
 781118  -407.50  1360.6042  1365.6839
 781119  -406.50   -98.6318   -99.0000
 781120  -405.50  1361.2863  1366.3685
 781121  -404.50  1361.3864  1366.4690
 781122  -403.50  1361.3685  1366.4510
 781123  -402.50   -98.6318   -99.0000
 781124  -401.50  1361.1749  1366.2567
 781125  -400.50  1361.5437  1366.6268
 781126  -399.50  1361.7135  1366.7972
 781127  -398.50   -98.6318   -99.0000
 781128  -397.50  1361.1097  1366.1913
 781129  -396.50  1361.3465  1366.4289
 781130  -395.50  1361.4641  1366.5469
 781201  -394.50   -98.6318   -99.0000
 781202  -393.50  1360.9877  1366.0688
 781203  -392.50  1361.0286  1366.1098
 781204  -391.50  1360.9817  1366.0628
 781205  -390.50   -98.6318   -99.0000
 781206  -389.50  1361.1176  1366.1991
 781207  -388.50  1361.5884  1366.6717
 781208  -387.50  1361.5651  1366.6483
 781209  -386.50   -98.6318   -99.0000
 781210  -385.50  1359.5972  1364.6731
 781211  -384.50  1359.5459  1364.6215
 781212  -383.50  1359.4956  1364.5710
 781213  -382.50   -98.6318   -99.0000
 781214  -381.50  1359.4075  1364.4827
 781215  -380.50  1360.3614  1365.4401
 781216  -379.50  1360.9095  1365.9903
 781217  -378.50   -98.6318   -99.0000
 781218  -377.50  1360.4366  1365.5156
 781219  -376.50  1360.8398  1365.9203
 781220  -375.50  1360.9860  1366.0670
 781221  -374.50   -98.6318   -99.0000
 781222  -373.50  1360.4215  1365.5004
 781223  -372.50  1361.0654  1366.1468
 781224  -371.50  1361.2829  1366.3651
 781225  -370.50   -98.6318   -99.0000
 781226  -369.50  1361.1504  1366.2321
 781227  -368.50  1361.5146  1366.5976
 781228  -367.50  1361.5511  1366.6342
 781229  -366.50   -98.6318   -99.0000
 781230  -365.50  1360.5526  1365.6320
 781231  -364.50  1360.7273  1365.8074
 790101  -363.50  1360.8822  1365.9629
 790102  -362.50   -98.6318   -99.0000
 790103  -361.50  1360.6076  1365.6872
 790104  -360.50  1361.4769  1366.5597
 790105  -359.50  1361.5538  1366.6370
 790106  -358.50   -98.6318   -99.0000
 790107  -357.50  1361.2840  1366.3662
 790108  -356.50  1361.5806  1366.6638
 790109  -355.50  1361.3029  1366.3852
 790110  -354.50   -98.6318   -99.0000
 790111  -353.50  1360.8092  1365.8896
 790112  -352.50  1361.6530  1366.7365
 790113  -351.50  1361.6349  1366.7184
 790114  -350.50   -98.6318   -99.0000
 790115  -349.50  1361.0357  1366.1169
 790116  -348.50  1361.4160  1366.4987
 790117  -347.50  1361.6290  1366.7124
 790118  -346.50   -98.6318   -99.0000
 790119  -345.50  1360.7271  1365.8072
 790120  -344.50  1361.2373  1366.3192
 790121  -343.50  1360.9248  1366.0056
 790122  -342.50   -98.6318   -99.0000
 790123  -341.50  1360.3583  1365.4370
 790124  -340.50   -98.6318   -99.0000
 790125  -339.50  1360.7826  1365.8629
 790126  -338.50   -98.6318   -99.0000
 790127  -337.50  1360.8916  1365.9723
 790128  -336.50   -98.6318   -99.0000
 790129  -335.50  1361.5179  1366.6009
 790130  -334.50   -98.6318   -99.0000
 790131  -333.50  1361.9665  1367.0512
 790201  -332.50   -98.6318   -99.0000
 790202  -331.50  1361.4541  1366.5369
 790203  -330.50   -98.6318   -99.0000
 790204  -329.50  1361.1597  1366.2414
 790205  -328.50   -98.6318   -99.0000
 790206  -327.50  1361.2916  1366.3738
 790207  -326.50   -98.6318   -99.0000
 790208  -325.50  1361.5035  1366.5865
 790209  -324.50  1361.7784  1366.8624
 790210  -323.50  1361.4494  1366.5322
 790211  -322.50   -98.6318   -99.0000
 790212  -321.50  1361.0303  1366.1116
 790213  -320.50  1361.8420  1366.9262
 790214  -319.50  1361.7618  1366.8458
 790215  -318.50   -98.6318   -99.0000
 790216  -317.50  1360.7496  1365.8297
 790217  -316.50  1360.9865  1366.0675
 790218  -315.50  1360.4404  1365.5194
 790219  -314.50   -98.6318   -99.0000
 790220  -313.50  1360.0422  1365.1197
 790221  -312.50  1360.9833  1366.0643
 790222  -311.50  1361.4986  1366.5816
 790223  -310.50   -98.6318   -99.0000
 790224  -309.50  1361.3409  1366.4233
 790225  -308.50   -98.6318   -99.0000
 790226  -307.50  1361.5903  1366.6736
 790227  -306.50   -98.6318   -99.0000
 790228  -305.50  1361.4433  1366.5261
 790301  -304.50  1361.8999  1366.9844
 790302  -303.50  1361.9997  1367.0845
 790303  -302.50   -98.6318   -99.0000
 790304  -301.50  1361.6144  1366.6978
 790305  -300.50  1362.2494  1367.3352
 790306  -299.50  1362.1809  1367.2664
