Year,ENSO
1979,0.255
1980,0.306666666666667
1981,-0.1675
1982,0.965833333333333
1983,1.21916666666667
1984,-0.32
1985,-0.4325
1986,0.2975
1987,1.37333333333333
1988,-0.87
1989,-0.8225
1990,0.181666666666667
1991,0.614166666666667
1992,1.16
1993,0.881666666666666
1994,0.5025
1995,-0.180833333333333
1996,-0.615
1997,1.1675
1998,0.323333333333333
1999,-1.23666666666667
2000,-0.850833333333333
2001,-0.39
2002,0.349166666666667
2003,0.17
2004,0.145
2005,-0.0208333333333334
2006,0.015
2007,-0.596666666666667
2008,-1.09166666666667
2009,-0.0349999999999999
2010,-0.894166666666667
2011,-1.34
2012,-0.32
2013,-0.411666666666667
2014,-0.0241666666666666
2015,1.27666666666667
2016,0.4525
2017,-0.499166666666667
2018,-0.288333333333333
2019,0.344166666666667
2020,0.246666666666667
